fileNumber,accessionNumber,countFilings,countAmendments,countProgressUpdates,latestProgressUpdate,quarter,companyAge,initialTargetOffering,finalTargetOffering,initialCampaignDeadline,finalCampaignDeadline,unknownProgressUpdate,raisedAmount,securityOfferedType,noOfSecurityOffered,price,oversubscriptionAccepted,oversubscriptionAllocationType,maximumOfferingAmount,currentEmployees,totalAssetMostRecentFiscalYear,totalAssetPriorFiscalYear,cashEqMostRecentFiscalYear,cashEqPriorFiscalYear,accountsReceivedRecentFiscalYear,accountsReceivedPriorFiscalYear,shortTermDebtMRecentFiscalYear,shortTermDebtPriorFiscalYear,longTermDebtRecentFiscalYear,longTermDebtPriorFiscalYear,revenueMostRecentFiscalYear,revenuePriorFiscalYear,costGoodsSoldRecentFiscalYear,costGoodsSoldPriorFiscalYear,taxPaidMostRecentFiscalYear,taxPaidPriorFiscalYear,netIncomeMostRecentFiscalYear,netIncomePriorFiscalYear,issuerName,legalStatusForm,dateIncorporation,city,stateOrCountry,zipCode,issuerWebsite,filingDate,IntermediaryName,state (US),Country,Platform
020-25360,0001773138-19-000001,4,0,1,"Issuer raised $175,000. The actual processing time to confirm the commitments may take longer than the filing deadline, and the total amount is our best estimate at this time. The actual amount may be lower.",2Q,232,100000,100000,2019-06-28,2019-06-28,0,175000.00,Debt,,,Y,"First-come, first-served basis",175000,3,12950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1968,0,EADO BC Bar LLC,Limited Liability Company,2018-09-18,HOUSTON,TX,77003,www.eastendbackyard.com,2019-05-08,NextSeed,TEXAS,United States,NextSeed
020-25331,0001765395-19-000002,2,0,1,"Issuer raised $174,800. The actual processing time to confirm the commitments may take longer than the filing deadline, and the total amount is our best estimate at this time. The actual amount may be lower.",2Q,179,150000,150000,2019-09-03,2019-09-03,0,174800.00,Debt,,,Y,"First-come, first-served basis",500000,5,0,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,Bumpy Pickle LLC,Limited Liability Company,2018-10-26,Houston,TX,77011,www.bumpypicklehtx.com,2019-04-23,NextSeed,TEXAS,United States,NextSeed
020-23668,0001718528-17-000002,7,0,1,"The issuer raised approximately $174,536.67 during the offering period. Payment are still being processed; the exact amount has yet to be determined.",4Q,1148,25000,25000,2017-12-15,2017-12-15,0,174536.67,Debt,,,Y,"First-come, first-served basis",1000000,2,321861,40590,299867,17681,0,0,133361,11527,302101,74949,2767819,957535,0,0,0,0,0,0,World's Best Enterprises LLC,Limited Liability Company,2014-08-22,Dallas,TX,75252,https://www.worldsbest.com/,2017-10-13,SeedInvest,TEXAS,United States,SeedInvest
020-26820,0001821201-20-000001,4,0,1,"The Offering closed successfully on 01/16/2021, having received funded and completed investment commitments of 174,484.00 as determined following the final accounting.",3Q,807,25000,25000,2021-01-15,2021-01-15,0,174484.00,Other,25000,1,Y,Other,1070000,0,39297,17101,33174,17101,0,0,55340,6526,0,0,62755,36317,25403,16061,0,0,-141781,-40317,"Bloomi, Inc.",Corporation,2018-06-11,OAKLAND,CA,94605,https://thebloomi.com/,2020-08-26,Republic,CALIFORNIA,United States,Republic
020-23319,0001704205-17-000002,8,2,3,"On 11/6/2016, Ideal Conceal, Inc closed another round of investors, having a total (on all closings) of 272 investors for a total amount invested of $174,135.00",2Q,196,30000,1070000,2017-09-30,2017-11-06,0,174135.00,Common Stock,10000,3,Y,"First-come, first-served basis",1000000,0,25676,267,24898,0,0,0,0,0,0,0,0,0,0,0,0,0,-274171,-9233,"Ideal Conceal, Inc.",Corporation,2016-10-06,MONTICELLO,MN,55362,www.idealconceal.com,2017-04-20,truCrowd,MINNESOTA,United States,others
020-23885,0001724862-17-000001,3,0,1,"Issuer raised $174,000. The actual processing time to confirm the commitments may take longer than the filing deadline, and the total amount is our best estimate at this time. The actual amount may be lower.",4Q,215,150000,150000,2018-03-05,2018-03-05,0,174000.00,Debt,,,Y,"First-come, first-served basis",400000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PST Evergreen Investment, Inc.",Corporation,2017-05-26,SANTA CLARA,CA,95054,www.mumuhotpot.com,2017-12-27,NextSeed,CALIFORNIA,United States,NextSeed
020-27178,0001746059-20-000379,3,1,1,"At the close of the offering, the issuer closed on $173,900. The funds are currently being processed. The actual amount may be lower.",4Q,1015,100000,100000,2021-01-27,2021-01-27,0,173900.00,Debt,,1,Y,"First-come, first-served basis",250000,4,1316908.73,830052.11,467356.06,278935.95,0,0,0,0,319000,239000,0,0,0,0,0,0,0,0,Gorges Brewing LLC,Limited Liability Company,2018-02-01,PORTLAND,OR,97213,https://www.gorgesbeer.com/,2020-11-12,"MainVest, Inc.",OREGON,United States,"MainVest, Inc."
020-29574,0001670254-22-000071,2,0,1,"The final number is $173,790.00 in investments.",1Q,76,150000,150000,2023-04-30,2023-04-30,0,173790.00,Other,150000,1,Y,Other,1000000,25,307776,0,15508,0,52141,0,122453,0,0,0,143071,0,20963,0,0,0,-16854,0,Aladdin Scheme Inc.,Corporation,2021-11-09,Wilmington,DE,19808,https://www.aladdin.ng/,2022-01-24,Wefunder Portal LLC,DELAWARE,United States,Wefunder Portal LLC
020-26425,0001739064-20-000003,2,0,1,"The Offering closed successfully on September 16,2020 , having received investment commitments of $173,550, although a final accounting has not taken place.",2Q,826,50000,50000,2020-09-15,2020-09-15,0,173550.00,Other,50000,1,Y,Other,1070000,19,1541550,1425567,208784,742311,158800,7733,899232,522465,0,0,475507,278034,660896,314942,0,0,-7011872,-3358301,Roo Inc.,Corporation,2018-02-16,NEW YORK,NY,10011,https://heykangaroo.com/,2020-05-22,Republic,NEW YORK,United States,Republic
020-29201,0001886014-21-000003,2,0,1,"Total raised $173,160",4Q,1793,120000,120000,2022-01-03,2022-01-03,0,173160.00,Debt,,1,Y,"First-come, first-served basis",175000,3,38388,0,38388,0,0,0,0,0,0,0,60365,0,33696,0,0,0,6825,0,Baked True North LLC,Limited Liability Company,2016-12-21,BELLEVUE,PA,15202,https://bakedtruenorth.com/,2021-11-18,Honeycomb Portal LLC,PENNSYLVANIA,United States,Honeycomb Portal LLC
020-29950,0001851385-22-000001,4,2,1,"$173,110.72 in investments commitments. Payments still processing; final figure not yet determined.",1Q,2111,24995.04,24995.04,2022-08-29,2022-08-29,0,173110.72,Preferred Stock,903,27.68,Y,Other,1069998.08,7,438575,429684,5064,16173,0,0,213723,179661,116000,116000,0,0,0,0,0,0,-25171,-40269,Kneevoice Inc.,Corporation,2016-06-17,Santa Monica,CA,90403,www.kneevoice.com,2022-03-29,MicroVenture Marketplace Inc.,CALIFORNIA,United States,MicroVenture Marketplace Inc.
020-27495,0001104659-21-006448,4,1,1,"This Form C-U shall serve as an update regarding the offering that ended April 1, 2021. The final accounting indicates that the total amount raised was $173,000.00",1Q,4020,50000,50000,2021-07-22,2021-08-18,0,173000.00,Other,3556,300,Y,Other,1070000,5,569694,741393,249032,649760,0,0,337482,6804,390569,63693,17697,0,6880,0,0,0,-1870137,-881792,"Uroshape, LLC",Limited Liability Company,2010-01-20,Melbourne,FL,32935,https://www.solatherapy.com,2021-01-22,DALMORE GROUP LLC,FLORIDA,United States,others
020-28438,0001665160-21-001294,5,1,1,"At the close of the offering, the issuer closed on $172,586.29 and 35,961 number of securities.",3Q,307,10000,10000,2022-01-18,2022-03-18,0,172586.29,Common Stock,2000,5,Y,Other,5000000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PsiloThera, Inc.",Corporation,2020-09-18,Henderson,NV,89011,https://www.psilothera.com/,2021-07-22,StartEngine,NEVADA,United States,StartEngine
020-31352,0001930791-22-000001,2,0,1,"The issuer raised $172,500 from 98 investors. The final amounts and number of investors may change as the escrow process and funding continues",4Q,467,58000,58000,2023-04-30,2023-04-30,0,172500.00,Preferred Stock,58000,,Y,"First-come, first-served basis",377000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Naiad Creative, Inc.",Corporation,2021-08-12,TROY,MT,59935,http://www.pinkbenchdistilling.com,2022-11-22,"MiTec, PBC",MONTANA,United States,others
020-23756,0001665160-17-000574,6,2,1,"At the end of the offering, the amount closed on is $172,287 and 172,287 number of securities sold, final amount subject to change pending final receipt of committed investments.",4Q,45,10000,10000,2018-01-12,2018-01-12,0,172287.00,Other,10000,1,Y,Other,744000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Indeco, LLC",Limited Liability Company,2017-09-25,Dover,DE,19901,https://ind.eco/,2017-11-09,StartEngine,DELAWARE,United States,StartEngine
020-29262,0001845905-21-000004,4,0,1,"The Offering closed successfully on 4/30/2022 having received investment commitments of $171,842.00, although a final accounting has not taken place.",4Q,2565,25000,25000,2022-04-30,2022-04-30,0,171842.00,Other,25000,1,Y,Other,1070000,0,456242,334047,20119,28153,84423,74462,41795,75346,2665049,2168342,444317,487975,352446,265728,0,0,-334746,-357286,"Have Your Cake Kitchen, LLC",Limited Liability Company,2014-11-21,BROOKLYN,NY,11231,www.rulebreakersnacks.com,2021-11-29,Republic,NEW YORK,United States,Republic
020-23923,0001727168-18-000001,5,1,1,"$171,639.04 in investments. Payments are still being processed; final number is yet to be determined.",1Q,331,50000,50000,2018-03-14,2018-03-14,0,171639.04,Other,50000,1,Y,Other,1070000,0,214354,0,214354,0,0,0,0,0,310000,0,0,0,0,0,0,0,-159757,0,Hackrod Inc.,Corporation,2017-02-21,Woodland Hills,CA,91367,hackrod.com,2018-01-18,First Democracy VC,CALIFORNIA,United States,others
020-28510,0001665160-21-001389,3,0,1,"At the close of the offering, the issuer closed on $171,238.68 and 45,183 number of securities.",3Q,1175,10000,10000,2022-02-02,2022-02-02,0,171238.68,Common Stock,2500,4,Y,Other,1070000,25,10671,44144,5262,16983,724,0,77422,60760,186900,65411,127239,205245,15190,33237,0,0,-201337,-49247,"ZEVA, Inc.",Corporation,2018-05-16,Tacoma,WA,98421,https://www.zevaaero.com/,2021-08-03,StartEngine,WASHINGTON,United States,StartEngine
020-23017,0001644600-16-000196,6,0,1,"$171,200 is our best estimate for the total amount of securities that will be sold.",4Q,47,100000,100000,2016-12-17,2016-12-17,0,171200.00,Debt,,1,Y,"First-come, first-served basis",1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOLFPRINT 3D INC,Corporation,2016-08-18,DOVER,DE,19904,www.Wolfprint3d.com,2016-10-04,SeedInvest,DELAWARE,United States,SeedInvest
020-26712,0001802024-20-000002,6,1,1,"The Offering closed successfully on January 1, 2021, having received funded and completed investment commitments of $170,989, as determined following the final accounting.",3Q,2551,25000,25000,2020-12-25,2020-12-31,0,170989.00,Other,25000,1,Y,Other,1070000,8,352153,130262,26349,35134,186376,19246,321665,102788,55250,0,1997203,829896,555069,235622,0,0,186478,126621,PUFFCUFF LLC,Limited Liability Company,2013-08-05,MARIETTA,GA,30062,https://thepuffcuff.com/,2020-07-30,Republic,GEORGIA,United States,Republic
020-31483,0001665160-22-003076,6,3,1,"At the close of the offering, the issuer closed on $170,839.33 and 65,518 number of securities.",4Q,1123,9999.15,9999.15,2023-02-15,2023-06-26,0,170839.33,Common Stock,3745,2.67,Y,Other,1234992.48,1,616087,88873,174319,11246,141384,0,540300,238062,0,0,1238,0,1111,0,0,0,-658495,-201486,"El Hempe Spirits, Inc.",Corporation,2019-11-18,Portland,OR,97223,https://www.el-hempe.com/,2022-12-15,StartEngine,OREGON,United States,StartEngine
020-27115,0001790166-20-000017,3,0,1,"The Offering closed successfully on January 1, 2021, having received investment commitments of $170,625, although a final accounting has not taken place.",4Q,402,39000,39000,2020-12-31,2020-12-31,0,170625.00,Other,2000,19.5,Y,"First-come, first-served basis",170625,0,65587,0,0,0,0,0,65587,0,0,0,0,0,0,0,0,0,0,0,"Compound Projects, LLC",Limited Liability Company,2019-09-23,NEW YORK,NY,10017,www.compoundprojects.co,2020-10-29,Republic,NEW YORK,United States,Republic
020-31689,0001746059-23-000028,3,1,1,"At the close of the offering, the issuer closed on $170,200. The funds are currently being processed. The actual amount may be lower.",1Q,1227,100000,100000,2023-03-31,2023-04-28,0,170200.00,Other,100000,1,Y,"First-come, first-served basis",200000,2,68950,47339,43252,1747,0,0,0,0,0,0,57704,146245,41306,70165,0,0,-67460,-40751,Wicked BOLD LLC,Limited Liability Company,2019-09-18,FLOWER MOUND,TX,75022,http://www.wickedbold.com/,2023-01-27,"MainVest, Inc.",TEXAS,United States,"MainVest, Inc."
020-25822,0001706429-19-000004,5,1,1,"The Offering closed successfully on April 3, 2020, having received investment commitments of $170,182, although a final accounting has not taken place.",4Q,1128,25000,25000,2020-03-03,2020-04-03,0,170182.00,Other,25000,1,Y,Other,500000,1,71342,21903,30401,17505,17612,1080,1304,0,21310,0,75515,4880,34487,8168,0,0,3875,-59854,WANDERING BARMAN LLC,Limited Liability Company,2016-10-03,RIDGEWOOD,NY,11385,https://www.wanderingbarman.com/,2019-11-05,Republic,NEW YORK,United States,Republic
020-23128,0001665160-16-000183,8,2,1,"The amount of securities sold at the close of the offering is 17,001 shares for an amount of $170,010.",4Q,1303,50000,50000,2017-05-30,2017-04-28,0,170010.00,Common Stock,5000,10,Y,"First-come, first-served basis",1000000,5,0,0,0,0,0,0,103780,97453,0,0,0,0,0,0,0,0,-6327,-33793,"ITFT, Inc.",Corporation,2013-06-05,Davidson,NC,28036,http://itftsolutions.com/,2016-12-29,StartEngine,NORTH CAROLINA,United States,StartEngine
020-22839,0001644600-16-000134,8,1,1,"Due to an Edgar glitch, today is the first day we could file. The actual administrative time in settling the accounts takes longer than the filing deadline: $170,000 is our best estimate for the total amount of securities that will be sold.",2Q,754,250000,100000,2016-07-15,2016-08-15,0,170000.00,Debt,,1,Y,"First-come, first-served basis",1000000,3,10170,7321,10170,7321,0,0,0,0,0,0,100000,28500,0,0,0,0,-36772,-2250,MF Fire,Limited Liability Company,2014-04-23,College Park,MD,20740,www.mffire.com,2016-05-16,"SI Portal, LLC",MARYLAND,United States,others
020-30210,0001665160-22-001674,2,0,1,"At the close of the offering, the issuer closed on $169,970.73 and 216,062 number of securities.",2Q,1100,10000,10000,2022-08-17,2022-08-17,0,169970.73,Common Stock,10000,1,Y,Other,2150494,6,183724,340922,105694,109844,0,0,227264,363294,0,0,0,0,0,0,0,0,-573854,-948160,Phormed Inc,Corporation,2019-05-15,Century City,CA,90067,www.phormed.com,2022-05-19,StartEngine,CALIFORNIA,United States,StartEngine
020-23285,0001701184-17-000001,5,2,1,"The issuer has raised a total of $169,700 during the offering period. The actual processing time to confirm the commitments may take longer than the filing deadline, and the total amount is our best estimate at this time. The actual amount may be lower.",2Q,722,350000,150000,2017-05-22,2017-06-07,0,169700.00,Debt,,,Y,"First-come, first-served basis",450000,4,695544,440144,51399,300273,0,0,1227,0,50000,0,0,0,0,0,0,0,-273004,-28891,"Bat Country, LLC",Limited Liability Company,2015-04-14,OAKLAND,CA,94602,https://www.oaklandrecclub.com/,2017-04-05,NextSeed,CALIFORNIA,United States,NextSeed
020-22978,0001670254-16-000107,6,3,1,"The final number is $169,611.00 in investments. The deadline date was set to today to work around an EDGAR glitch but the offering actually closed on 11-03-2016",3Q,218,40000,40000,2017-02-21,2017-04-30,0,169611.00,Other,40000,1,Y,Other,99999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ohos, Inc.",Corporation,2016-01-20,Denver,CO,80216,http://www.myohos.com,2016-08-25,Wefunder Portal LLC,COLORADO,United States,Wefunder Portal LLC
020-23823,0001665160-17-000645,9,5,1,"At the close of the offering, the issuer closed on $169,500 and 1,695 number of securities.",4Q,84,10000,10000,2018-02-27,2018-11-30,0,169500.00,Other,100,100,Y,Other,107000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cryptid LLC,Limited Liability Company,2017-09-05,Brooklyn,NY,11209,www.cryptidmovie.com,2017-11-28,StartEngine,NEW YORK,United States,StartEngine
020-31846,0001961439-23-000002,2,0,1,"The Offering closed successfully on 4/24/2023, having received investment commitments of $168,889, although a final accounting has not taken place.",1Q,1322,25000,25000,2023-04-23,2023-04-23,0,168889.00,Other,25000,1,Y,Other,1235000,9,4975186,2030336,4922452,1962389,0,0,87395,150484,0,4110000,89125,67654,116298,15799,0,0,-3818268,-2213994,"Atsign, Inc.",Corporation,2019-07-11,SAN JOSE,CA,95124,https://atsign.com,2023-02-22,Republic,CALIFORNIA,United States,Republic
020-30002,0001665160-22-000614,6,2,1,"At the close of the offering, the issuer closed on $168,880.20 and 41,921 number of securities.",2Q,1128,10000,10000,2022-04-30,2022-08-04,0,168880.20,Common Stock,2000,5,Y,Other,1070000,5,223535,187498,18345,3452,0,0,0,3396,58425,53411,0,0,0,0,0,0,-17339,-5008,"OptioLend, Inc.",Corporation,2019-03-05,Columbus,OH,43215,https://www.optiolend.com/,2022-04-06,StartEngine,OHIO,United States,StartEngine
020-30416,0001665160-22-001919,5,3,1,"At the close of the offering, the issuer closed on $168,824.40 and 185,996 number of securities.",2Q,545,10000,10000,2022-09-30,2022-11-01,0,168824.40,Common Stock,10000,1,Y,Other,1070000,2,263463,0,220646,0,42817,0,154422,0,0,0,45437,0,0,0,0,0,2670,0,"Geoji, Inc.",Corporation,2020-12-31,Austin,TX,77833,https://www.geoji.com/,2022-06-29,StartEngine,TEXAS,United States,StartEngine
020-23571,0001670254-17-000247,5,1,1,"$168,697.00 in investments. Payments are still being processed; final number is yet to be determined.",3Q,602,150000,150000,2018-02-23,2018-03-23,0,168697.00,Other,150000,1,Y,Other,1000000,2,3152,0,3152,0,0,0,800,0,16809,0,0,0,0,0,0,0,-14497,0,"SpaceFab.US, Inc.",Corporation,2016-01-07,Laguna Niguel,CA,92677,http://www.spacefab.us,2017-08-31,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-28947,0001746059-21-000496,2,0,1,"At the close of the offering, the issuer closed on $168,400. The funds are currently being processed. The actual amount may be lower.",4Q,939,150000,150000,2021-12-17,2021-12-17,0,168400.00,Debt,,1,Y,"First-come, first-served basis",250000,3,1747.83,0,1824.16,0,0,0,3995.82,0,0,0,17114,0,10918,0,0,0,-1372,0,Xenia LA LLC,Limited Liability Company,2019-03-18,LOS ANGELES,CA,90036,https://eatxenia.com/,2021-10-12,"MainVest, Inc.",CALIFORNIA,United States,"MainVest, Inc."
020-23483,0001670254-17-000200,3,1,1,"At the close of the Company's most recent Regulation CF offering, the Company raised $167,940.54. Upon an agreement with the intermediary, we did not issue them any securities related to this raise.",3Q,507,1000,1000,2018-03-10,2017-09-05,0,167940.54,Common Stock,134,7.47,Y,Other,70000,5,694289,0,638309,0,1000,0,108455,0,0,0,23096,0,16684,0,0,0,-1272622,0,"Legion M Entertainment, Inc.",Corporation,2016-03-04,Emeryville,CA,94608,http://www.thelegionm.com,2017-07-24,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-24861,0001665160-18-001175,9,5,2,"Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $167,650 and 167,650 number of securities.",4Q,142,10000,10000,2019-01-31,2019-11-04,0,167650.00,Other,10000,1,Y,Other,1070000,5,27003,19151.26,17745.28,11513.3,2854,5167.05,1379.63,285.5,34924.82,33331,109823.58,62560.2,39699.74,28176.74,79.08,185.26,-93282.7,-52545.08,"Ginjan Bros, Inc.",Corporation,2018-06-12,Bronx,NY,10451,https://www.drinkginjan.com,2018-11-01,StartEngine,NEW YORK,United States,StartEngine
020-30547,0001665160-22-002061,3,0,1,"At the close of the offering, the issuer closed on $167,421.03 and 896,980 number of securities.",3Q,6717,10000,10000,2022-10-17,2022-10-17,0,167421.03,Common Stock,40000,0.25,Y,Other,1069999.75,4,3813,2144,2813,2144,0,0,1497098,1455640,26487,27400,492672,659925,210016,549755,0,0,145720,-152348,Securlinx Corporation,Corporation,2004-02-27,Novi,MI,48375,www.securlinx.com,2022-07-19,StartEngine,MICHIGAN,United States,StartEngine
020-27430,0001830742-20-000002,4,1,1,"The Offering closed successfully on April 24, 2021, having received investment commitments of $167,321, although a final accounting has not taken place.",1Q,294,25000,25000,2021-04-23,2021-04-23,0,167321.00,Other,25000,1,Y,Other,1070000,8,555097,90819,513335,73794,39762,17025,147662,56451,726388,0,139781,55625,58271,17168,0,0,-703321,-420993,MyndVR Inc.,Corporation,2020-03-16,FLOWER MOUND,TX,75022,https://www.myndvr.com/,2021-01-04,Republic,TEXAS,United States,Republic
020-29433,0001670254-21-001422,4,2,1,"End of offering. Issuer closed its offering with estimated gross proceeds of $167,240.00. The foregoing is in regard only to the amount raised under the Section 4(a)(6) exemption.",4Q,118,50190,50190,2022-04-30,2023-04-30,0,167240.00,Preferred Stock,239,210,Y,Other,1069950,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HLD Film, Inc.",Corporation,2021-08-27,Bronx,NY,10451,http://facebook.com/suchafunnylife,2021-12-23,Wefunder Portal LLC,NEW YORK,United States,Wefunder Portal LLC
020-25673,0001665160-19-000960,4,0,2,"Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $167,082.75 and 392,775 number of securities.",3Q,1807,9999.9,9999.9,2019-12-27,2019-12-27,0,167082.75,Common Stock,22222,0.45,Y,Other,1069999.65,11,386385,27031,3803,31,0,0,116825,0,342437,11350,117003,28755,3753,0,0,0,-88588,-37382,"ChalkBites, Inc.",Corporation,2014-10-15,Davenport,IA,52802,www.ChalkBites.com,2019-09-26,StartEngine,IOWA,United States,StartEngine
020-29280,0001862075-21-000001,3,1,1,"The Offering closed successfully on 4/30/2022 having received investment commitments of $166,378.66, although a final accounting has not taken place.",4Q,238,25001.6,25001.6,2022-04-30,2022-04-30,0,166378.66,Other,14585,1.7142,Y,Other,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cerveceria Gran Arrecife Maya Corp USA,Corporation,2021-04-06,DOVER,DE,19901,https://granarrecifemaya.com/,2021-11-30,Republic,DELAWARE,United States,Republic
020-26342,0001669191-20-000192,7,4,1,"End of offering. Issuer closed its offering with estimated gross proceeds of $166,239. The foregoing is in regard only to the amount raised under the Section 4(a)(6) exemption.",2Q,757,10000.08,10000.2,2020-06-26,2020-09-01,0,166239.00,Common Stock,41667,0.24,Y,"First-come, first-served basis",255000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6046,-1438,"ecoText, Inc",Corporation,2018-03-29,Dover,NH,3820,ecotext.co,2020-04-24,NetCapital Funding Portal Inc.,NEW HAMPSHIRE,United States,NetCapital Funding Portal Inc.
020-30275,0001917616-22-000001,5,1,1,"The Offering closed successfully on 9/16/2022, having received investment commitments of $166,102.24, although a final accounting has not taken place.",2Q,1890,107000,107100,2022-09-15,2022-09-15,0,166102.24,Other,107000,1,Y,Other,250000,0,221940,138779,133178,43562,0,0,27041,27041,0,0,77000,0,0,0,729,0,-306839,-36779,"Helios Life Enterprises, Inc.",Corporation,2017-03-30,SCHENECTADY,NY,12305,https://www.helioslife.enterprises,2022-06-02,Republic,NEW YORK,United States,Republic
020-28992,0001665160-21-001835,4,1,1,"At the close of the offering, the issuer closed on $166,004.3 and 286,955 number of securities.",4Q,522,9999.6,9999.6,2022-04-19,2022-04-19,0,166004.30,Other,15384,0.65,Y,Other,1069997.5,4,52524,0,524,0,0,0,117240,0,0,0,0,0,64716,0,0,0,-64716,0,PaidWorkout Corp.,Corporation,2020-05-15,Miami Beach,FL,33139,https://paidworkout.com/,2021-10-19,StartEngine,FLORIDA,United States,StartEngine
020-27586,0001812192-21-000001,4,0,1,"The Offering was successful as of its deadline, April 30, 2021, having received investment commitments of $165,776 although a final accounting has not taken place.",1Q,583,25000,25000,2021-04-30,2021-04-30,0,165776.00,Other,25000,1,Y,Other,1070000,0,239378,0,234396,0,0,0,53297,0,490000,0,55548,0,46426,0,0,0,-456243,0,BuildStream Technologies Inc.,Corporation,2019-07-03,BROOKLYN,NY,11222,www.buildstream.co,2021-02-05,Republic,NEW YORK,United States,Republic
020-32216,0001735613-23-000002,2,0,1,"The Offering closed successfully on 6/27/2023, having received investment commitments of $165,594.43, although a final accounting has not taken place.",2Q,1955,25000,25000,2023-06-26,2023-06-26,0,165594.43,Other,25000,1,Y,Other,618000,2,253303,83648,197110,25315,47860,0,41959,66761,1121100,507605,131667,141824,0,0,0,0,-452846,-239898,"Quantm.One, Inc.",Corporation,2017-12-18,NEWPORT BEACH,CA,92660,www.quantmre.com,2023-04-26,Republic,CALIFORNIA,United States,Republic
020-32278,0001899780-23-000001,2,0,1,"The Offering closed successfully on 7/9/2023, having received investment commitments of $165,584, although a final accounting has not taken place.",2Q,1727,25000,25000,2023-07-08,2023-07-08,0,165584.00,Other,25000,1,Y,Other,1235000,5,1480326,4235697,171474,3464134,0,0,4065034,418713,172911,16108,4829496,4170461,3899386,3980450,0,0,-6559131,-4989375,"Tiny Organics, Inc.",Corporation,2018-08-16,NEW YORK,NY,10281,www.tinyorganics.com,2023-05-09,Republic,NEW YORK,United States,Republic
020-23318,0001670254-17-000057,9,2,1,"$165,530.00 in investments. Payments are still being processed; final number is yet to be determined.",2Q,757,100000,100000,2017-07-17,2017-08-31,0,165530.00,Other,100000,1,Y,Other,1000000,3,35728,0,35728,0,0,0,0,0,50000,0,11163,0,0,0,0,0,-14272,-100,"MySwimPro, Inc.",Corporation,2015-03-23,Ann Arbor,MI,48104,http://myswimpro.com,2017-04-18,Wefunder Portal LLC,MICHIGAN,United States,Wefunder Portal LLC
020-23246,0001697047-17-000001,5,1,1,"$165,006 in investments. Payments are still being processed; final number is yet to be determined.",1Q,2927,50000,50000,2017-04-30,2017-04-30,0,165006.00,Other,50000,1,Y,Other,1000000,9,473067,399406,42849,32709,92916,66862,20000,0,175000,100000,1474176,846044,1102702,649714,0,0,-9376,-77756,"Tasty Minstrel Games, LLC",Limited Liability Company,2009-03-11,Mountain Green,UT,84050,http://www.playtmg.com,2017-03-16,First Democracy VC,UTAH,United States,others
020-31312,0001900769-22-000004,4,0,1,"The Offering closed successfully on 1/15/2023, having received investment commitments of $164,695, although a final accounting has not taken place.",4Q,1295,25000,25000,2023-01-14,2023-01-14,0,164695.00,Other,25000,1,Y,Other,1235000,2,353319,730997,183230,476338,0,0,482,429,0,0,59514,4479,3318,202,0,0,-422731,-144525,Dana HQ Inc,Corporation,2019-04-30,WALNUT,CA,91789,https://getdex.com,2022-11-15,Republic,CALIFORNIA,United States,Republic
020-23788,0001719882-17-000001,4,1,1,"The Issuer raised approximately $164,575 during the offering period. Payments are still being processed. The exact amount is yet to be determined.",4Q,562,25000,25000,2018-01-16,2018-01-26,0,164575.00,Other,25000,1,Y,"First-come, first-served basis",107000,0,0,0,0,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,MiqroTech,Limited Liability Company,2016-05-04,PORT MATILDA,PA,16870,www.miqrotech.com,2017-11-17,Republic,PENNSYLVANIA,United States,Republic
020-27407,0001665160-20-001605,7,3,1,"At the close of the offering, the issuer closed on $164,570  and 18,161 number of securities.",4Q,623,10000,10000,2021-04-30,2021-08-28,0,164570.00,Common Stock,1000,10,Y,Other,250000,3,513249,0,19288,0,16829,0,52247,0,348000,0,104817,0,52309,0,0,0,-14143,0,Parvus Capital Corporation,Corporation,2019-04-16,Frisco,TX,75033,https://terrabiotics.com/,2020-12-29,StartEngine,TEXAS,United States,StartEngine
